emailverification-management-na1.emarketer.com	200	https://login.microsoftonline.com/0aebfe46-98d0-4e40-aa2c-ecc2747a8ad5/oauth2/authorize?client_id=c3a0264c-843c-4e8f-8142-fde13582cd6d&redirect_uri=https%3A%2F%2Femailverification-management-na1.emarketer.com&response_type=code%20id_token&scope=openid%20profile&state=OpenIdConnect.AuthenticationProperties%3DYmhf1rGU67sb4ygnSOdxhdcOidEu2ZlryNkN14sVNI5uuiSddPr8Jc8EzaOd_4vQvpvvMXvCncqSyZ1BdF7xsieRvBzyaR6SD7xUfSbji679mRA1LAGs5_UQAoJyhr6ArZabm49yZX4bWQsjnf8Kw7NYDIkxaCr9MEvEzafYanYwz-fr7Y_JNzLxKw36kCP6kII_cn3q7_74We1P2OYtqfpYs4MOawENaCwnJGKwNairTBjV_sV3mpNCYp9m27DWoU2_6nGxNDs9G8c1bDK5hj2_4NdbJSgRi3_WmnTaud0&response_mode=form_post&nonce=639259776554629171.ZmU4OTgwNDMtMWZjOS00NDBmLWFiNzMtYzAxZTdmODRiZTk0OTFmNWRhYmQtNmQyMS00ZDJlLTg4NDYtNTJlYWY1ODE5ZDAx&x-client-SKU=ID_NET461&x-client-ver=5.7.0.0
favorites.emarketer.com	200	https://subscriptions.emarketer.com/Account/Login?returnUrl=https%3A%2F%2Ffolders.emarketer.com
folders.emarketer.com	200	https://subscriptions.emarketer.com/Account/Login?returnUrl=https%3A%2F%2Ffolders.emarketer.com
gebrauchtwagen.stage.autobild.de	401	https://gebrauchtwagen.stage.autobild.de/
help.politico.eu	200	https://www.politico.eu/professional-services-uk/?client_id=znQGlYseabkN6WX9uDEbFfROVnDhBF1a3SRoQjC0&redirect_uri=https%3A%2F%2Fapi.politico.eu%2Foauth%2Fcallback&response_type=code&redirect_url=https%3A%2F%2Fhelp.politico.eu%2F&timestamp=17903808570748773&geo-redirect
internal2tree.bild.de	404	https://internal2tree.bild.de/
int.kundenservice.auth.bild.de	404	https://int.kundenservice.auth.bild.de/
intranet.emarketer.com	200	https://accounts.google.com/v3/signin/identifier?continue=https://sites.google.com/emarketer.com/ii-intranet&followup=https://sites.google.com/emarketer.com/ii-intranet&osid=1&passive=1209600&service=wise&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-1959516738:1790380857593597
iqtest.bild.de	200	https://www.bild.de/games/
kundenservice.auth.bild.de	200	https://kundenservice.auth.bild.de/
login.bild.de	200	https://signin.auth.bild.de/login?returnTo=https%3A%2F%2Fwww.bild.de%2F
managementapi.emarketer.com	401	https://managementapi.emarketer.com/
m.einbuergerungstest.bild.de	404	http://m.einbuergerungstest.bild.de/
m.iqtest.bild.de	404	http://m.iqtest.bild.de/
m.tv.bild.de	200	https://www.bild.de/tv/mediathek/livestream/startseite-77204148.bild.html
m.wissenstest.bild.de	404	http://m.wissenstest.bild.de/
newsos.com	200	https://newsos.com/login?next=%2F
pbs-test.asadcdn.com	200	https://pbs-test.asadcdn.com/
play-staging.sportbild.de	200	https://play-staging.sportbild.bild.de/
staging.epaper.bild.de	200	https://staging.epaper.bild.de/
staging.pbsb.asadcdn.com	401	https://staging.pbsb.asadcdn.com/
stream.springtools.de	200	https://stream.springtools.de/
stream-stage.springtools.de	200	https://stream-stage.springtools.de/
test.pbsb.asadcdn.com	401	https://test.pbsb.asadcdn.com/
totalaccess.emarketer.com	200	https://subscriptions.emarketer.com/Account/Login?ReturnUrl=https%3A%2F%2Ftotalaccess.emarketer.com%2F
tv.bild.de	200	https://www.bild.de/tv/mediathek/livestream/startseite-77204148.bild.html
video.stage.autobild.de	404	https://video.stage.autobild.de/
wires.dev.newsos.com	200	https://wires.dev.newsos.com/login?next=%2F
wires.newsos.com	200	https://wires.newsos.com/login?next=%2F
wissenstest.bild.de	200	https://www.bild.de/games/
www.aboservice.bild.de	200	https://kundenservice.auth.axelspringer.de/?layout=bild
www.bild.tv	200	https://www.bild.de/tv/mediathek/livestream/startseite-77204148.bild.html
www.stage.autobild.de	401	https://www.stage.autobild.de/
